Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
2020-11-18,General Food,2,2,1,15,7.5,50,5
2020-11-18,Misc.,1,1,1,15,15,100,15
2020-11-20,General Food,4,6,1.5,19.5,4.87,100,19.5
2020-11-20,Misc.,1,1,1,15,15,100,15
2020-11-22,General Food,6,35,5.8,253,42.16,100,253
2020-11-22,Meat/Fish,3,12,4,160,53.33,100,160
2020-11-23,General Food,1,4,4,20,20,100,20
2020-11-23,Snacks,1,8,8,8,8,100,8
2020-11-24,General Food,5,34,6.8,223,44.6,100,223
2020-11-24,Meat/Fish,3,9,3,110,36.66,100,110
2020-11-24,Snacks,1,1,1,0.25,0.25,100,0.25
2020-11-25,Drinks,1,1,1,1.5,1.5,100,1.5
2020-11-25,General Food,7,40,5.7,253.49,36.21,100,253.49
2020-11-25,Meat/Fish,4,5,1.3,60,15,100,60
2020-11-25,Snacks,1,1,1,2,2,100,2
2020-11-26,General Food,4,19,4.8,161,40.25,100,161
2020-11-26,Meat/Fish,1,1,1,10,10,100,10
2020-11-27,Cleaning&body,1,1,1,5,5,100,5
2020-11-27,Drinks,1,1,1,1,1,100,1
2020-11-27,General Food,6,63,10.5,423.5,70.58,100,423.5
2020-11-27,Meat/Fish,3,5,1.7,70,23.33,100,70
2020-11-27,Snacks,3,11,3.7,2.15,0.71,100,2.15
2020-11-28,Drinks,1,1,1,1.5,1.5,100,1.5
2020-11-28,General Food,6,16,2.7,107.75,17.95,100,107.75
2020-11-28,Snacks,2,6,3,7.5,3.75,100,7.5
2020-11-29,General Food,2,10,5,56,28,100,56
2020-11-30,General Food,1,7,7,52,52,100,52
2020-12-01,Drinks,1,1,1,1.5,1.5,100,1.5
2020-12-01,General Food,3,25,8.3,185,61.66,100,185
2020-12-02,General Food,2,15,7.5,144,72,100,144
2020-12-03,General Food,3,22,7.3,166,55.33,100,166
2020-12-03,Meat/Fish,1,1,1,10,10,100,10
2020-12-04,Drinks,1,5,5,7.5,7.5,100,7.5
2020-12-04,General Food,3,50,16.7,519,173,100,519
2020-12-05,General Food,6,27,4.5,150,25,100,150
2020-12-06,General Food,5,36,7.2,259,51.8,100,259
2020-12-06,Meat/Fish,2,3,1.5,40,20,100,40
2020-12-07,General Food,3,23,7.7,206,68.66,100,206
2020-12-07,Meat/Fish,2,2,1,30,15,100,30
2020-12-07,Snacks,1,1,1,0.5,0.5,100,0.5
2020-12-08,General Food,3,40,13.3,170.25,56.75,100,170.25
2020-12-08,Meat/Fish,2,3,1.5,30,15,100,30
2020-12-08,Snacks,1,3,3,1,1,100,1
2020-12-09,General Food,2,38,19,180,90,100,180
2020-12-09,Meat/Fish,1,1,1,20,20,100,20
2020-12-10,Cleaning&body,1,1,1,5,5,100,5
2020-12-10,Drinks,1,1,1,9,9,100,9
2020-12-10,General Food,9,80,8.9,635,70.55,100,635
2020-12-10,Meat/Fish,1,1,1,10,10,100,10
2020-12-10,Misc.,1,1,1,15,15,100,15
2020-12-10,Snacks,1,2,2,8,8,100,8
2020-12-11,Cleaning&body,1,1,1,5,5,100,5
2020-12-11,Drinks,2,9,4.5,13.5,6.75,100,13.5
2020-12-11,General Food,5,76,15.2,556,111.2,100,556
2020-12-11,Meat/Fish,1,4,4,50,50,100,50
2020-12-11,Snacks,1,10,10,5,5,100,5
2020-12-12,Drinks,1,3,3,4.5,4.5,100,4.5
2020-12-12,General Food,5,58,11.6,732,146.4,100,732
2020-12-12,Meat/Fish,3,5,1.7,70,23.33,100,70
2020-12-12,Snacks,1,1,1,1,1,100,1
2020-12-13,General Food,4,36,9,215.5,53.87,100,215.5
2020-12-13,Meat/Fish,2,3,1.5,30,15,100,30
2020-12-13,Snacks,1,1,1,0.5,0.5,100,0.5
2020-12-14,General Food,2,26,13,171,85.5,100,171
2020-12-15,Drinks,2,5,2.5,73,36.5,100,73
2020-12-15,General Food,8,64,8,698,87.25,100,698
2020-12-15,Meat/Fish,1,1,1,20,20,100,20
2020-12-15,Snacks,1,4,4,2,2,100,2
2020-12-16,General Food,11,56,5.1,574.5,52.22,100,574.5
2020-12-16,Meat/Fish,1,2,2,30,30,100,30
2020-12-16,Snacks,1,3,3,3.5,3.5,100,3.5
2020-12-17,General Food,2,15,7.5,91,45.5,100,91
2020-12-18,General Food,3,39,13,372,124,100,372
2020-12-18,Meat/Fish,1,1,1,20,20,100,20
2020-12-18,Snacks,1,1,1,0.25,0.25,100,0.25
2020-12-19,General Food,1,3,3,5,5,100,5
2020-12-20,General Food,4,42,10.5,567.5,141.87,100,567.5
2020-12-20,Meat/Fish,1,2,2,20,20,100,20
2020-12-20,Snacks,2,3,1.5,4.5,2.25,100,4.5
2020-12-21,Cleaning&body,1,2,2,10,10,100,10
2020-12-21,General Food,1,1,1,10,10,100,10
2020-12-22,General Food,3,15,5,131.5,43.83,100,131.5
2020-12-24,General Food,3,25,8.3,291.5,97.16,100,291.5
2020-12-24,Meat/Fish,1,1,1,10,10,100,10
2020-12-24,Snacks,2,3,1.5,1.5,0.75,100,1.5
2020-12-25,General Food,1,21,21,109,109,100,109
2020-12-25,Meat/Fish,1,3,3,30,30,100,30
2020-12-26,Cleaning&body,1,3,3,20,20,100,20
2020-12-26,General Food,1,11,11,90,90,100,90
2020-12-28,Drinks,1,1,1,1,1,100,1
2020-12-28,General Food,4,19,4.8,122,30.5,100,122
2020-12-28,Meat/Fish,1,1,1,20,20,100,20
2020-12-29,General Food,3,24,8,202,67.33,100,202
2020-12-29,Snacks,1,2,2,0.75,0.75,100,0.75
2020-12-30,General Food,1,2,2,4.5,4.5,100,4.5
2020-12-31,General Food,2,6,3,32.74,16.37,100,32.74
2021-01-01,General Food,1,1,1,7,7,100,7
2021-01-02,Drinks,1,7,7,224,224,100,224
2021-01-02,General Food,8,61,7.6,846.75,105.84,100,846.75
2021-01-02,Meat/Fish,3,7,2.3,80,26.66,100,80
2021-01-03,Drinks,1,12,12,29,29,100,29
2021-01-03,General Food,5,9,1.8,86,17.2,100,86
2021-01-03,Meat/Fish,1,1,1,20,20,100,20
2021-01-04,Drinks,2,5,2.5,36.5,18.25,100,36.5
2021-01-04,General Food,4,27,6.8,273,68.25,100,273
2021-01-04,Meat/Fish,1,1,1,10,10,100,10
2021-01-04,Snacks,1,3,3,1.5,1.5,100,1.5
2021-01-05,General Food,2,20,10,142,71,100,142
2021-01-05,Meat/Fish,1,2,2,26,26,100,26
2021-01-06,Drinks,1,1,1,32,32,100,32
2021-01-06,General Food,10,39,3.9,523.75,52.37,100,523.75
2021-01-06,Meat/Fish,3,3,1,30,10,100,30
2021-01-07,General Food,3,9,3,226,75.33,100,226
2021-01-07,Meat/Fish,2,2,1,20,10,100,20
2021-01-08,General Food,3,8,2.7,209,69.66,100,209
2021-01-08,Meat/Fish,1,2,2,30,30,100,30
2021-01-09,General Food,8,45,5.6,452.5,56.56,100,452.5
2021-01-09,Meat/Fish,3,4,1.3,40,13.33,100,40
2021-01-09,Snacks,1,4,4,6,6,100,6
2021-01-10,Drinks,1,1,1,1.5,1.5,100,1.5
2021-01-10,General Food,7,18,2.6,148,21.14,100,148
2021-01-10,Meat/Fish,3,4,1.3,80,26.66,100,80
2021-01-11,Drinks,1,3,3,3,3,100,3
2021-01-11,General Food,3,10,3.3,49,16.33,100,49
2021-01-11,Meat/Fish,2,2,1,20,10,100,20
2021-01-12,General Food,2,5,2.5,25,12.5,100,25
